lon,lat,shape_num,x,y
-160.166401,-77.891258,0,-447986.1782956403,-1242043.7018841603
-159.14593,-78.350568,0,-452085.1892860709,-1186747.781645967
-158.095681,-78.729986,0,-458233.644556364,-1139643.7536292146
-155.523107,-79.169167,0,-488976.05736761197,-1074107.7596328063
-153.340515,-79.452085,0,-515619.4660507735,-1027003.7176830521
-151.835918,-79.732427,0,-527916.429402961,-986043.7475610604
-152.15555,-80.185907,0,-499223.5092843709,-945083.7138515547
-153.01967,-80.682239,0,-460283.1729629239,-904123.7862330866
-155.441684,-80.869724,0,-413144.8055584262,-904123.788928091
-159.02309,-80.924688,0,-353709.4704483661,-922555.7549209091
-161.733939,-81.135124,0,-302472.1245009102,-916411.7605469327
-160.574231,-81.531064,0,-306571.10382446717,-869307.7206362502
-158.281381,-81.726287,0,-333214.525046884,-836539.7287761834
-156.168219,-82.048716,0,-349610.50019754504,-791483.7942744998
-155.68161,-82.471639,0,-337313.51346191665,-746427.7485282546
-158.073131,-82.806694,0,-292224.6561265544,-725947.7678340044
-162.214909,-82.932516,0,-234838.81200091715,-732091.6981787717
-168.399462,-82.918574,0,-154908.58023646715,-754619.7849362695
-172.344016,-82.56487,0,-107770.21063272464,-801723.7819321727
-175.651234,-82.402665,0,-62681.358523964795,-824251.795012148
-177.393003,-82.717331,0,-36037.92254268183,-791483.7363724451
-175.859225,-83.0636,0,-54483.37029419324,-752571.7965785462
-172.292801,-83.454766,0,-95473.24086643264,-705467.7317151434
-170.932734,-83.831518,0,-105720.70809278254,-662459.726369469
-169.926106,-84.118745,0,-111869.18970175693,-629691.7209522744
-172.276714,-84.308148,0,-83176.28438189937,-613307.7038750345
-177.868531,-84.130003,0,-23740.96339579276,-637883.7543684058
178.701691,-83.831689,0,15199.413238700074,-670651.7262969299
174.920909,-83.525985,0,62337.783162991764,-701371.8018033258
171.541712,-83.157686,0,109476.13649760772,-736187.7818089105
168.865759,-82.643058,0,154564.9790909359,-785339.6993270813
165.812949,-82.206214,0,207851.8366395756,-822203.7901607063
164.237599,-81.583615,0,248841.72081745075,-881595.7635388072
162.731494,-80.968392,0,291881.0793875202,-938939.7359526892
162.500532,-80.210869,0,320573.98931245244,-1016763.7172632571
162.41489,-79.637092,0,341068.93655857706,-1076155.7883959268
163.655572,-78.945265,0,339019.437806086,-1156027.7282682012
165.619258,-78.913267,0,300079.07447665796,-1170363.7964243647
167.6845,-78.854172,0,259089.1815185384,-1186747.7428499735
169.226251,-78.591727,0,232445.75607388417,-1221563.7674658834
170.039043,-78.109494,0,224247.78516862766,-1276859.7173904658
170.790339,-77.738866,0,214000.32990697774,-1319867.7840824502
171.667826,-77.240258,0,201703.34480926045,-1377211.697880112
